pLivr,dateCreation,article_id,filiere,desiArticle,dPr,ctrPr,qteOrdre,prixCmd,prixNet,annee,mois,dateCRD,hierarchi3,hierarchi2,hie3_2,hie_filiere,pExp,paysClient,clientDesignation,clientLivr,Gest,AS,ZDis
4,2023-12-22,MB128AFAAAAA,ASSEMBLAGE,TRAPPE CDT AR A400M,261,AEMAREC,1,52264.99,52264.99,2024,4,2024-04-20,A400M,ASSEMBLAGE,A400M-ASSEMBLAGE,A400M-ASSEMBLAGE,NX02,,,20202,RQB,,Z4
4,2023-12-22,MB129AEAAAAA,ASSEMBLAGE,TRAPPE CDT AR D400M,261,AEMAREC,1,52264.99,52264.99,2024,4,2024-04-20,A400M,ASSEMBLAGE,A400M-ASSEMBLAGE,A400M-ASSEMBLAGE,NX02,,,20202,RQB,,Z4
4,2021-11-08,AE_AJA52821028000,PE_SE_MEC,AJA52821028000 USM,499,AEDIVPE,1,15040.0,15040.0,2022,2,2022-02-01,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQB,,Z4
4,2021-11-08,AE_AJA52821028000,PE_SE_MEC,AJA52821028000 USM,499,AEDIVPE,1,15040.0,15040.0,2022,2,2022-02-01,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQB,,Z4
4,2023-09-27,AE_AJA52111039000,ASSEMBLAGE,AJA52111039000 CREW DOOR TROLLEY,250,AEMAREC,1,0.0,0.0,2023,9,2023-09-27,A400M,ASSEMBLAGE,A400M-ASSEMBLAGE,A400M-ASSEMBLAGE,NX02,,,20202,RQM,,Z4
3,2023-05-23,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,2,998.38,499.19,2023,9,2023-09-20,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2023-05-23,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,2,998.38,499.19,2023,9,2023-09-20,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2023-05-23,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,10,491.8,49.18,2023,12,2023-12-15,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2023-05-23,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,8,298.56,37.32,2023,10,2023-10-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2023-05-23,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,152.72,38.18,2023,10,2023-10-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2023-05-23,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,143.14,71.57,2023,10,2023-10-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2023-05-23,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,143.14,71.57,2023,10,2023-10-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2023-10-02,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,149.28,37.32,2024,1,2024-01-29,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2023-10-11,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,499.19,499.19,2024,1,2024-01-15,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2023-10-11,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,196.72,49.18,2024,2,2024-02-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2023-10-11,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,6,229.08,38.18,2024,2,2024-02-01,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2023-10-11,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,143.14,71.57,2024,2,2024-02-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2023-10-11,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,143.14,71.57,2024,2,2024-02-19,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2023-10-25,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,499.19,499.19,2024,10,2024-10-09,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-01-05,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,4,2024-04-05,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-01-05,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,4,2024-04-05,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,2,1063.28,531.64,2024,6,2024-06-27,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,7,2024-07-28,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,2,1063.28,531.64,2024,7,2024-07-25,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,6,2024-06-10,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,209.52,52.38,2024,7,2024-07-18,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2024,7,2024-07-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,8,318.0,39.75,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,162.64,40.66,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,81.32,40.66,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-02-29,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,10,2024-10-05,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-02-29,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,8,2024-08-23,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-02-29,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2025,1,2025-01-03,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-02-29,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,9,2024-09-30,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-02-29,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,81.32,40.66,2024,9,2024-09-30,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-03-08,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,6,2024-06-14,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-03-08,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,7,2024-07-26,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-03-08,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,7,2024-07-25,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-03-08,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2024,9,2024-09-13,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-03-08,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,1,76.22,76.22,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-03-08,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-05-03,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,8,2024-08-28,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,3,1594.92,531.64,2024,10,2024-10-15,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-05-24,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,3,1594.92,531.64,2024,10,2024-10-31,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-05-24,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,209.52,52.38,2024,10,2024-10-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,11,2024-11-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,162.64,40.66,2024,10,2024-10-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,3,228.66,76.22,2024,10,2024-10-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-05-24,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,10,2024-10-10,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-07-29,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2024,11,2024-11-10,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-07-29,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,10,2024-10-03,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-07-29,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,10,2024-10-03,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-08-09,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,3,1594.92,531.64,2025,1,2025-01-31,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
